S no,Country,Cases
1,USA,"4,51,79,209"
2,India,"3,39,53,475"
3,Brazil,"2,15,67,181"
4,UK,"81,20,713"
5,Russia,"77,46,718"
6,Turkey,"74,16,182"
7,France,"70,52,520"
8,Iran,"56,91,634"
9,Argentina,"52,65,528"
10,Spain,"49,73,619"
11,Colombia,"49,70,718"
12,Italy,"46,98,038"
13,Germany,"43,23,431"
14,Indonesia,"42,27,038"
15,Mexico,"37,20,545"
16,Poland,"29,20,874"
17,South Africa,"29,11,497"
18,Philippines,"26,54,450"
19,Ukraine,"25,29,913"
20,Malaysia,"23,32,221"
21,Peru,"21,83,589"
22,Iraq,"20,22,109"
23,Netherlands,"20,21,433"
24,Thailand,"17,10,884"
25,Japan,"17,09,609"
26,Czechia,"16,99,074"
27,Chile,"16,61,370"
28,Canada,"16,57,262"
29,Bangladesh,"15,61,878"
30,Romania,"13,46,240"
31,Israel,"13,04,356"
32,Belgium,"12,61,102"
33,Pakistan,"12,57,188"
34,Sweden,"11,57,822"
35,Portugal,"10,74,813"
36,Serbia,"10,00,365"
37,Morocco,"9,38,801"
38,Cuba,"9,14,779"
39,Kazakhstan,"9,03,924"
40,Switzerland,"8,48,416"
41,Vietnam,"8,36,134"
42,Jordan,"8,32,399"
43,Hungary,"8,27,410"
44,Nepal,"8,01,633"
45,Austria,"7,59,543"
46,UAE,"7,37,655"
47,Tunisia,"7,09,456"
48,Greece,"6,75,479"
49,Georgia,"6,31,563"
50,Lebanon,"6,29,561"
51,Guatemala,"5,78,809"
52,Belarus,"5,55,793"
53,Saudi Arabia,"5,47,532"
54,Costa Rica,"5,44,021"
55,Sri Lanka,"5,25,663"
56,Bulgaria,"5,20,241"
57,Ecuador,"5,11,699"
58,Bolivia,"5,03,432"
59,Azerbaijan,"4,91,147"
60,Myanmar,"4,77,333"
61,Panama,"4,68,963"
62,Paraguay,"4,60,190"
63,Slovakia,"4,24,407"
64,Croatia,"4,16,950"
65,Palestine,"4,12,860"
66,Kuwait,"4,12,048"
67,Ireland,"4,01,773"
68,Uruguay,"3,89,935"
69,Venezuela,"3,82,266"
70,Honduras,"3,69,030"
71,Dominican Republic,"3,65,063"
72,Denmark,"3,63,356"
73,Ethiopia,"3,54,033"
74,Lithuania,"3,50,029"
75,Libya,"3,45,451"
76,S. Korea,"3,31,519"
77,Mongolia,"3,25,390"
78,Egypt,"3,11,576"
79,Moldova,"3,05,977"
80,Oman,"3,03,915"
81,Slovenia,"3,00,969"
82,Bahrain,"2,75,597"
83,Armenia,"2,71,205"
84,Kenya,"2,51,057"
85,Bosnia and Herzegovina,"2,40,094"
86,Qatar,"2,37,359"
87,Zambia,"2,09,336"
88,Nigeria,"2,07,618"
89,Algeria,"2,04,490"
90,North Macedonia,"1,94,575"
91,Norway,"1,93,275"
92,Botswana,"1,80,438"
93,Kyrgyzstan,"1,79,281"
94,Uzbekistan,"1,77,834"
95,Albania,"1,74,643"
96,Latvia,"1,69,917"
97,Estonia,"1,63,803"
98,Afghanistan,"1,55,466"
99,Mozambique,"1,50,963"
100,Finland,"1,45,679"
101,Montenegro,"1,35,010"
102,Zimbabwe,"1,31,762"
103,Ghana,"1,28,368"
104,Namibia,"1,28,070"
105,Australia,"1,27,470"
106,Uganda,"1,24,544"
107,Singapore,"1,24,157"
108,Cyprus,"1,19,548"
109,Cambodia,"1,14,810"
110,El Salvador,"1,07,664"
111,Rwanda,"98,599"
112,China,"96,398"
113,Cameroon,"95,399"
114,Jamaica,"85,905"
115,Maldives,"85,465"
116,Luxembourg,"79,018"
117,Senegal,"73,835"
118,Malawi,"61,672"
119,Angola,"61,245"
120,Ivory Coast,"60,785"
121,DRC,"57,126"
122,Réunion,"53,963"
123,Guadeloupe,"53,734"
124,Trinidad and Tobago,"52,480"
125,Fiji,"51,483"
126,Eswatini,"46,273"
127,Suriname,"44,270"
128,Madagascar,"42,898"
129,French Guiana,"42,543"
130,Martinique,"41,129"
131,French Polynesia,"40,178"
132,Sudan,"38,824"
133,Cabo Verde,"37,870"
134,Malta,"37,323"
135,Syria,"36,713"
136,Mauritania,"36,387"
137,Guyana,"33,566"
138,Gabon,"32,135"
139,Guinea,"30,501"
140,Laos,"27,607"
141,Tanzania,"25,957"
142,Togo,"25,760"
143,Benin,"24,335"
144,Papua New Guinea,"22,413"
145,Haiti,"22,382"
146,Belize,"22,187"
147,Seychelles,"21,638"
148,Bahamas,"21,580"
149,Lesotho,"21,455"
150,Somalia,"20,900"
151,Mayotte,"20,385"
152,Timor-Leste,"19,661"
153,Burundi,"18,825"
154,Tajikistan,"17,084"
155,Curaçao,"16,777"
156,Taiwan,"16,287"
157,Mauritius,"16,189"
158,Aruba,"15,626"
159,Mali,"15,450"
160,Andorra,"15,291"
161,Nicaragua,"15,134"
162,Congo,"14,833"
163,Burkina Faso,"14,458"
164,Djibouti,"13,179"
165,Equatorial Guinea,"12,657"
166,Hong Kong,"12,262"
167,Iceland,"12,147"
168,South Sudan,"12,104"
169,Saint Lucia,"11,970"
170,Channel Islands,"11,843"
171,CAR,"11,401"
172,Barbados,"10,667"
173,Gambia,"9,939"
174,Yemen,"9,345"
175,New Caledonia,"9,100"
176,Brunei,"8,599"
177,Isle of Man,"8,028"
178,Eritrea,"6,741"
179,Sierra Leone,"6,396"
180,Guinea-Bissau,"6,117"
181,Niger,"6,093"
182,Liberia,"5,799"
183,Grenada,"5,619"
184,Gibraltar,"5,613"
185,Bermuda,"5,501"
186,San Marino,"5,444"
187,Chad,"5,059"
188,New Zealand,"4,624"
189,Sint Maarten,"4,395"
190,Comoros,"4,161"
191,St. Vincent Grenadines,"3,965"
192,Dominica,"3,948"
193,Saint Martin,"3,789"
194,Antigua and Barbuda,"3,738"
195,Sao Tome and Principe,"3,626"
196,Liechtenstein,"3,460"
197,Monaco,"3,333"
198,Turks and Caicos,"2,895"
199,British Virgin Islands,"2,725"
200,Bhutan,"2,613"
201,Saint Kitts and Nevis,"2,361"
202,Caribbean Netherlands,"2,217"
203,St. Barth,"1,587"
204,Faeroe Islands,"1,280"
205,Cayman Islands,960
206,Diamond Princess,712
207,Greenland,623
208,Anguilla,544
209,Wallis and Futuna,445
210,Macao,77
211,Falkland Islands,68
212,Montserrat,41
213,Saint Pierre Miquelon,32
214,Vatican City,27
215,Solomon Islands,20
216,Western Sahara,10
217,MS Zaandam,9
218,Palau,8
219,Vanuatu,4
220,Marshall Islands,4
221,Samoa,3
222,Saint Helena,2
223,Micronesia,1
